fecha,location,vacunados
2021-07-29,Canada,21881949.0
2021-07-30,Canada,22101762.0
2021-07-31,Canada,22248811.0
2021-08-01,Canada,22362208.0
2021-08-02,Canada,22442098.0
2021-08-03,Canada,22705375.0
2021-08-04,Canada,22841633.0
2021-08-05,Canada,22997064.0
2021-08-06,Canada,23139540.0
2021-08-07,Canada,23244247.0
2021-08-08,Canada,23324700.0
2021-08-09,Canada,23479992.0
2021-08-10,Canada,23590540.0
2021-08-11,Canada,23700094.0
2021-08-12,Canada,23820958.0
2021-08-13,Canada,23934219.0
2021-08-14,Canada,24025326.0
2021-08-15,Canada,24104572.0
2021-08-16,Canada,24237435.0
2021-08-17,Canada,24345827.0
2021-08-18,Canada,24440482.0
2021-08-19,Canada,24541082.0
2021-08-20,Canada,24632227.0
2021-08-21,Canada,24710081.0
2021-08-22,Canada,24767249.0
2021-08-23,Canada,24858576.0
2021-08-24,Canada,24944393.0
2021-08-25,Canada,25014925.0
2021-08-26,Canada,25098382.0
2021-08-27,Canada,25175180.0
2021-08-28,Canada,25235377.0
2021-08-29,Canada,25282042.0
2021-08-30,Canada,25361100.0
2021-08-31,Canada,25415420.0
2021-09-01,Canada,25480478.0
2021-09-02,Canada,25537732.0
2021-09-03,Canada,25602193.0
2021-09-04,Canada,25659288.0
2021-09-05,Canada,25698271.0
2021-09-06,Canada,25721297.0
2021-09-07,Canada,25790074.0
2021-09-08,Canada,25839987.0
2021-09-09,Canada,25897113.0
2021-09-10,Canada,25954802.0
2021-09-11,Canada,25999253.0
2021-09-12,Canada,26036058.0
2021-09-13,Canada,26097371.0
2021-09-14,Canada,26139377.0
2021-09-15,Canada,26187616.0
2021-09-16,Canada,26243483.0
2021-09-17,Canada,26304533.0
2021-09-18,Canada,26345872.0
